        Frequency / THz                Eps' (Fit)/real
               1.3275075                       4.3595262
               1.3296998                       4.3579149
               1.3318919                       4.3563046
                1.334084                       4.3546963
               1.3362763                       4.3530889
               1.3384684                       4.3514829
               1.3406607                       4.3498783
               1.3428528                       4.3482752
               1.3450451                        4.346673
               1.3472372                       4.3450727
               1.3473337                       4.3450027
               1.3494295                       4.3434739
               1.3516216                       4.3418765
               1.3538138                       4.3402805
                1.356006                       4.3386855
               1.3581982                       4.3370924
               1.3603904                       4.3355007
               1.3625826                         4.33391
               1.3647748                       4.3323212
                1.366967                       4.3307338
               1.3691591                       4.3291478
               1.3713514                       4.3275633
               1.3735435                       4.3259802
               1.3757358                       4.3243985
               1.3779279                       4.3228183
               1.3801202                       4.3212395
               1.3823123                       4.3196621
               1.3845046                       4.3180866
               1.3866967                       4.3165121
               1.3888888                       4.3149395
               1.3910811                       4.3133683
               1.3932732                       4.3117986
               1.3954655                       4.3102303
               1.3976576                       4.3086634
               1.3998499                       4.3070979
                1.402042                       4.3055344
               1.4042343                       4.3039718
               1.4064264                       4.3024111
               1.4086186                       4.3008518
               1.4108108                        4.299294
                1.413003                       4.2977381
               1.4151952                       4.2961831
               1.4173874                       4.2946301
               1.4195796                       4.2930784
               1.4217718                       4.2915287
               1.4227743                       4.2908201
               1.4239639                       4.2899799
               1.4261562                       4.2884331
               1.4283483                       4.2868876
               1.4305406                       4.2853436
               1.4327327                       4.2838016
                1.434925                       4.2822609
               1.4371171                       4.2807217
               1.4393094                       4.2791839
               1.4415015                        4.277648
               1.4436936                       4.2761135
               1.4458859                       4.2745805
                1.448078                       4.2730494
               1.4502703                       4.2715192
               1.4524624                       4.2699914
               1.4546547                       4.2684646
               1.4568468                       4.2669396
               1.4590391                       4.2654161
               1.4612312                       4.2638946
               1.4634234                       4.2623744
               1.4656156                       4.2608557
               1.4678078                       4.2593384
                    1.47                        4.257823
               1.4721922                       4.2563095
               1.4743844                        4.254797
               1.4765766                       4.2532864
               1.4787688                       4.2517776
                1.480961                       4.2502704
               1.4831531                       4.2487645
               1.4853454                       4.2472601
               1.4875375                       4.2457576
               1.4897298                        4.244257
               1.4919219                       4.2427578
               1.4941142                       4.2412601
               1.4963063                       4.2397642
               1.4984984                       4.2382698
               1.5006907                       4.2367768
               1.5024389                       4.2355876
               1.5028828                       4.2352858
               1.5050751                       4.2337966
               1.5072672                       4.2323089
               1.5094595                       4.2308226
               1.5116516                       4.2293382
               1.5138439                       4.2278552
                1.516036                       4.2263737
               1.5182282                       4.2248945
               1.5204204                       4.2234163
               1.5226126                         4.22194
               1.5248048                       4.2204657
                1.526997                       4.2189927
               1.5291892                       4.2175212
               1.5313814                       4.2160516
               1.5335736                       4.2145839
               1.5357658                       4.2131176
               1.5379579                       4.2116528
               1.5401502                       4.2101898
               1.5423423                       4.2087288
               1.5445346                       4.2072692
               1.5467267                        4.205811
                1.548919                       4.2043548
               1.5511111                       4.2029004
               1.5533034                       4.2014475
               1.5554955                        4.199996
               1.5576876                       4.1985464
               1.5598799                       4.1970987
                1.562072                       4.1956525
               1.5642643                       4.1942081
               1.5664564                       4.1927652
               1.5686487                       4.1913242
               1.5708408                       4.1898847
                1.573033                        4.188447
               1.5752252                       4.1870108
               1.5774174                       4.1855764
               1.5796096                        4.184144
               1.5818018                        4.182713
                1.583994                       4.1812835
               1.5861862                       4.1798563
               1.5865643                       4.1796103
               1.5883784                       4.1784301
               1.5905706                       4.1770062
               1.5927627                       4.1755834
                1.594955                       4.1741629
               1.5971471                       4.1727438
               1.5993394                       4.1713262
               1.6015315                       4.1699109
               1.6037238                       4.1684966
               1.6059159                       4.1670847
               1.6081082                       4.1656737
               1.6103003                       4.1642652
               1.6124924                        4.162858
               1.6146847                       4.1614528
               1.6168768                        4.160049
               1.6190691                       4.1586471
               1.6212612                       4.1572466
               1.6234535                        4.155848
               1.6256456                       4.1544509
               1.6278379                       4.1530561
                 1.63003                       4.1516623
               1.6322222                       4.1502709
               1.6344144                        4.148881
               1.6366066                       4.1474924
               1.6387988                       4.1461058
                1.640991                        4.144721
               1.6431832                       4.1433377
               1.6453754                       4.1419563
               1.6475675                       4.1405768
               1.6497598                       4.1391988
               1.6519519                       4.1378226
               1.6541442                       4.1364479
               1.6563363                       4.1350751
               1.6585286                       4.1337042
               1.6607207                       4.1323347
                1.662913                       4.1309671
               1.6651051                        4.129601
               1.6672972                       4.1282368
               1.6694895                       4.1268744
               1.6716816                       4.1255136
               1.6738739                       4.1241546
                  1.6754                       4.1232095
                1.676066                       4.1227975
               1.6782583                       4.1214418
               1.6804504                       4.1200876
               1.6826427                       4.1187358
               1.6848348                       4.1173854
                1.687027                       4.1160364
               1.6892192                       4.1146894
               1.6914114                       4.1133442
               1.6936036                       4.1120005
               1.6957958                       4.1106586
                1.697988                       4.1093187
               1.7001802                       4.1079803
               1.7023724                       4.1066437
               1.7045646                        4.105309
               1.7067567                       4.1039758
                1.708949                        4.102644
               1.7111411                       4.1013145
               1.7133334                       4.0999866
               1.7155255                         4.09866
               1.7177178                       4.0973353
               1.7199099                       4.0960126
                1.722102                       4.0946918
               1.7242943                       4.0933723
               1.7264864                       4.0920544
               1.7286787                       4.0907388
               1.7308708                       4.0894241
               1.7330631                       4.0881119
               1.7352552                       4.0868011
               1.7374475                       4.0854921
               1.7396396                       4.0841846
               1.7418318                       4.0828791
                1.744024                       4.0815749
               1.7462162                       4.0802727
               1.7484084                       4.0789723
               1.7506006                       4.0776739
               1.7527928                       4.0763769
                1.754985                       4.0750813
               1.7571772                       4.0737877
               1.7593694                       4.0724959
               1.7615615                       4.0712056
               1.7637538                       4.0699172
               1.7659459                       4.0686307
               1.7681382                       4.0673456
               1.7692099                       4.0667181
               1.7703303                       4.0660625
               1.7725226                       4.0647807
               1.7747147                       4.0635009
               1.7769068                        4.062223
               1.7790991                       4.0609465
               1.7812912                       4.0596719
               1.7834835                       4.0583987
               1.7856756                       4.0571275
               1.7878679                       4.0558581
                 1.79006                       4.0545902
               1.7922523                       4.0533237
               1.7944444                       4.0520597
               1.7966366                        4.050797
               1.7988288                       4.0495358
                1.801021                       4.0482764
               1.8032132                        4.047019
               1.8054054                        4.045763
               1.8075976                       4.0445089
               1.8097898                       4.0432563
                1.811982                       4.0420055
               1.8141742                       4.0407567
               1.8163663                       4.0395093
               1.8185586                       4.0382633
               1.8207507                       4.0370197
                1.822943                       4.0357771
               1.8251351                       4.0345368
               1.8273274                        4.033298
               1.8295195                       4.0320606
               1.8317118                       4.0308251
               1.8339039                       4.0295916
                1.836096                       4.0283594
               1.8382883                       4.0271292
               1.8404804                       4.0259004
               1.8426727                       4.0246735
               1.8448648                        4.023448
               1.8470571                       4.0222244
               1.8492492                       4.0210028
               1.8514414                       4.0197825
               1.8536336                       4.0185637
