        Frequency / THz                Eps'' (Fit)/real
               1.3538138                       2.3277662
                1.356006                       2.3260026
               1.3581982                       2.3242428
               1.3603904                       2.3224871
               1.3625826                        2.320735
               1.3647748                       2.3189869
                1.366967                       2.3172426
               1.3691591                       2.3155022
               1.3713514                       2.3137653
               1.3735435                       2.3120322
               1.3757358                        2.310303
               1.3779279                       2.3085773
               1.3801202                       2.3068554
               1.3823123                       2.3051372
               1.3845046                       2.3034225
               1.3866967                       2.3017113
               1.3888888                       2.3000038
               1.3910811                       2.2982998
               1.3932732                       2.2965994
               1.3954655                       2.2949026
               1.3976576                       2.2932091
               1.3998499                       2.2915192
                1.402042                       2.2898328
               1.4042343                       2.2881498
               1.4064264                       2.2864702
               1.4086186                       2.2847939
               1.4108108                       2.2831211
                1.413003                       2.2814517
               1.4151952                       2.2797854
               1.4173874                       2.2781227
               1.4195796                        2.276463
               1.4217718                       2.2748067
               1.4227743                       2.2740505
               1.4239639                       2.2731538
               1.4261562                       2.2715039
               1.4283483                       2.2698574
               1.4305406                        2.268214
               1.4327327                       2.2665739
                1.434925                       2.2649369
               1.4371171                        2.263303
               1.4393094                       2.2616723
               1.4415015                       2.2600448
               1.4436936                       2.2584202
               1.4458859                       2.2567987
                1.448078                       2.2551804
               1.4502703                       2.2535651
               1.4524624                       2.2519526
               1.4546547                       2.2503433
               1.4568468                       2.2487371
               1.4590391                       2.2471337
               1.4612312                       2.2455332
               1.4634234                       2.2439358
               1.4656156                       2.2423413
               1.4678078                       2.2407496
                    1.47                        2.239161
               1.4721922                       2.2375751
               1.4743844                       2.2359922
               1.4765766                        2.234412
               1.4787688                       2.2328346
                1.480961                       2.2312601
               1.4831531                       2.2296884
               1.4853454                       2.2281196
               1.4875375                       2.2265534
               1.4897298                       2.2249899
               1.4919219                       2.2234292
               1.4941142                       2.2218714
               1.4963063                       2.2203162
               1.4984984                       2.2187636
               1.5006907                       2.2172139
               1.5024389                       2.2159798
               1.5028828                       2.2156665
               1.5050751                       2.2141221
               1.5072672                       2.2125802
               1.5094595                        2.211041
               1.5116516                       2.2095044
               1.5138439                       2.2079704
                1.516036                        2.206439
               1.5182282                         2.20491
               1.5204204                       2.2033837
               1.5226126                         2.20186
               1.5248048                       2.2003388
                1.526997                       2.1988201
               1.5291892                       2.1973038
               1.5313814                       2.1957901
               1.5335736                        2.194279
               1.5357658                         2.19277
               1.5379579                       2.1912639
               1.5401502                         2.18976
               1.5423423                       2.1882586
               1.5445346                       2.1867595
               1.5467267                       2.1852629
                1.548919                       2.1837687
               1.5511111                        2.182277
               1.5533034                       2.1807876
               1.5554955                       2.1793005
               1.5576876                       2.1778157
               1.5598799                       2.1763334
                1.562072                       2.1748533
               1.5642643                       2.1733756
               1.5664564                          2.1719
               1.5686487                       2.1704271
               1.5708408                        2.168956
                1.573033                       2.1674876
               1.5752252                       2.1660213
               1.5774174                       2.1645572
               1.5796096                       2.1630955
               1.5818018                       2.1616359
                1.583994                       2.1601784
               1.5861862                       2.1587231
               1.5865643                       2.1584725
               1.5883784                       2.1572702
               1.5905706                       2.1558194
               1.5927627                       2.1543708
                1.594955                       2.1529245
               1.5971471                       2.1514802
               1.5993394                        2.150038
               1.6015315                        2.148598
               1.6037238                       2.1471603
               1.6059159                       2.1457245
               1.6081082                       2.1442909
               1.6103003                       2.1428592
               1.6124924                       2.1414299
               1.6146847                       2.1400025
               1.6168768                       2.1385772
               1.6190691                       2.1371541
               1.6212612                       2.1357329
               1.6234535                       2.1343138
               1.6256456                       2.1328967
               1.6278379                       2.1314816
                 1.63003                       2.1300685
               1.6322222                       2.1286576
               1.6344144                       2.1272485
               1.6366066                       2.1258414
               1.6387988                       2.1244364
                1.640991                       2.1230333
               1.6431832                       2.1216321
               1.6453754                       2.1202331
               1.6475675                       2.1188359
               1.6497598                       2.1174407
               1.6519519                       2.1160474
               1.6541442                        2.114656
               1.6563363                       2.1132665
               1.6585286                       2.1118789
               1.6607207                       2.1104932
                1.662913                       2.1091094
               1.6651051                       2.1077275
               1.6672972                       2.1063473
               1.6694895                       2.1049693
               1.6716816                       2.1035929
               1.6738739                       2.1022186
                  1.6754                       2.1012628
                1.676066                       2.1008461
               1.6782583                       2.0994751
               1.6804504                       2.0981064
               1.6826427                       2.0967393
               1.6848348                       2.0953739
                1.687027                       2.0940106
               1.6892192                       2.0926487
               1.6914114                        2.091289
               1.6936036                        2.089931
               1.6957958                       2.0885746
                1.697988                       2.0872202
               1.7001802                       2.0858674
               1.7023724                       2.0845163
               1.7045646                       2.0831671
               1.7067567                       2.0818198
                1.708949                       2.0804739
               1.7111411                       2.0791299
               1.7133334                       2.0777876
               1.7155255                       2.0764472
               1.7177178                       2.0751083
               1.7199099                       2.0737712
                1.722102                       2.0724359
               1.7242943                       2.0711021
               1.7264864                       2.0697701
               1.7286787                       2.0684397
               1.7308708                        2.067111
               1.7330631                        2.065784
               1.7352552                       2.0644586
               1.7374475                       2.0631349
               1.7396396                       2.0618129
               1.7418318                       2.0604925
                1.744024                       2.0591738
               1.7462162                       2.0578568
               1.7484084                       2.0565412
               1.7506006                       2.0552273
               1.7527928                       2.0539153
                1.754985                       2.0526044
               1.7571772                       2.0512955
               1.7593694                        2.049988
               1.7615615                       2.0486822
               1.7637538                       2.0473781
               1.7659459                       2.0460753
               1.7681382                       2.0447743
               1.7692099                       2.0441389
               1.7703303                       2.0434749
               1.7725226                        2.042177
               1.7747147                       2.0408807
               1.7769068                       2.0395858
               1.7790991                       2.0382926
               1.7812912                       2.0370009
               1.7834835                       2.0357108
               1.7856756                       2.0344222
               1.7878679                       2.0331349
                 1.79006                       2.0318494
               1.7922523                       2.0305653
               1.7944444                       2.0292828
               1.7966366                       2.0280018
               1.7988288                       2.0267224
                1.801021                       2.0254443
               1.8032132                       2.0241678
               1.8054054                       2.0228927
               1.8075976                       2.0216193
               1.8097898                       2.0203471
                1.811982                       2.0190766
               1.8141742                       2.0178075
               1.8163663                       2.0165401
               1.8185586                       2.0152738
               1.8207507                        2.014009
                1.822943                       2.0127459
               1.8251351                       2.0114841
               1.8273274                       2.0102236
               1.8295195                       2.0089648
               1.8317118                       2.0077074
               1.8339039                       2.0064514
                1.836096                       2.0051966
               1.8382883                       2.0039434
               1.8404804                       2.0026917
               1.8426727                       2.0014412
               1.8448648                       2.0001924
               1.8470571                       1.9989449
               1.8492492                       1.9976988
               1.8514414                        1.996454
               1.8536336                       1.9952106
               1.8558258                       1.9939687
                1.858018                       1.9927282
               1.8602102                       1.9914891
               1.8624024                       1.9902512
               1.8645946                       1.9890147
               1.8667868                       1.9877797
               1.8682723                       1.9869436
                1.868979                        1.986546
               1.8711711                       1.9853138
               1.8733634                       1.9840828
               1.8755555                       1.9828532
               1.8777478                        1.981625
               1.8799399                       1.9803981
               1.8821322                       1.9791725
               1.8843243                       1.9779482
               1.8865166                       1.9767253
               1.8887087                       1.9755038
               1.8909009                       1.9742836
               1.8930931                       1.9730647
               1.8952852                       1.9718471
               1.8974775                       1.9706309
               1.8996696                       1.9694159
               1.9018619                       1.9682022
                1.904054                       1.9669899
               1.9062463                       1.9657789
               1.9084384                       1.9645692
               1.9106306                       1.9633608
               1.9128228                       1.9621537
                1.915015                       1.9609479
               1.9172072                       1.9597433
               1.9193994                         1.95854
               1.9215916                        1.957338
               1.9237838                       1.9561373
               1.9259759                       1.9549379
               1.9281682                       1.9537398
               1.9303603                       1.9525429
               1.9325526                       1.9513472
               1.9347447                       1.9501529
                1.936937                       1.9489597
               1.9391291                       1.9477679
               1.9413214                       1.9465773
               1.9435135                        1.945388
               1.9457057                       1.9441999
               1.9478979                        1.943013
               1.9500901                       1.9418274
               1.9522823                        1.940643
               1.9544744                       1.9394598
               1.9566667                        1.938278
               1.9588588                       1.9370972
               1.9610511                       1.9359177
               1.9632432                       1.9347396
               1.9654354                       1.9335625
               1.9676276                       1.9323868
               1.9698198                       1.9312121
                1.972012                       1.9300387
               1.9728816                       1.9295737
               1.9742042                       1.9288665
               1.9763964                       1.9276956
               1.9785886                       1.9265258
